Age Class,sWorst,sBest,rWorst,rBest
0, 1.00,1.00,0.00,0.00
1, 0.60,0.63,0.00,0.00
2, 0.88,0.93,0.00,0.00
3, 0.93,0.98,0.01,0.01
4, 0.93,0.98,0.04,0.04
5, 0.92,0.97,0.16,0.17
6, 0.92,0.96,0.26,0.27
7, 0.91,0.95,0.26,0.27
8, 0.90,0.94,0.26,0.27
9, 0.89,0.91,0.26,0.27
10,0.86,0.89,0.26,0.27
11,0.84,0.89,0.26,0.27
12,0.84,0.89,0.26,0.27
13,0.84,0.87,0.26,0.27
14,0.77,0.81,0.26,0.27
15,0.72,0.76,0.26,0.27
16,0.65,0.68,0.26,0.27
17,0.48,0.51,0.26,0.27
18,0.47,0.50,0.26,0.27
19,0.47,0.50,0.26,0.27
20,0.47,0.50,0.26,0.27
